縣市,模型,MAE,MSE,MAPE
基隆市,LinearRegression,11.431677629814658,215.0194081538932,0.0031092789958844748
基隆市,RandomForest,335.9487500000032,204633.8363125038,0.09173584299536283
新北市,LinearRegression,24.093066553235985,1034.9365099444558,0.000602614255581108
新北市,RandomForest,4098.577500000014,27780749.216700695,0.1020400416351609
臺北市,RandomForest,6882.381250000093,76408811.64751352,0.26805380227103254
臺北市,LinearRegression,12.473468185053207,232.8360867494442,0.00047086941950845505
桃園市,RandomForest,6927.2987500000745,114633254.48973918,0.3088768713681149
桃園市,LinearRegression,23.497700051113497,1232.4895637149393,0.0010561796756260015
新竹市,RandomForest,867.1450000000041,1538741.1014000014,0.19398557043046183
新竹市,LinearRegression,6.422593301984307,57.75170784436687,0.0014398509169563224
新竹縣,RandomForest,1599.6850000000268,4415621.052875141,0.28123405526259526
新竹縣,LinearRegression,6.983235684281681,59.43570360636373,0.0012258572080717151
苗栗縣,RandomForest,737.4774999999936,1044483.1812500105,0.13445748997883059
苗栗縣,LinearRegression,16.570129753425135,502.95327667418525,0.003023155394809271
臺中市,RandomForest,4086.7362500000163,36035075.066737324,0.14523581342667546
臺中市,LinearRegression,26.11801316787023,1601.3352960998557,0.0009359299868663466
南投縣,LinearRegression,2.9933309635016485,18.240474892439043,0.0006034290132580209
南投縣,RandomForest,1397.1237499999988,3110408.258037503,0.2850747924843657
彰化縣,LinearRegression,19.903684422606602,823.5538933973532,0.001567639344816539
彰化縣,RandomForest,2188.461249999993,7246976.887262395,0.1733092184033343
雲林縣,RandomForest,1864.242499999993,4944991.589899942,0.27567821026363054
雲林縣,LinearRegression,6.908963489317102,110.43788459555626,0.001004702093879411
嘉義縣,RandomForest,2019.3962500000052,6554259.341112545,0.40256480450454263
嘉義縣,LinearRegression,1.8347009174976847,4.335946300028947,0.000367314369801793
嘉義市,LinearRegression,0.9346686790522654,1.1120089462101634,0.00035002624756356755
嘉義市,RandomForest,196.32500000000437,55622.723125002034,0.07353274817353649
臺南市,RandomForest,1213.6899999999732,2244725.7710499265,0.06503700265356477
臺南市,LinearRegression,20.245263029937632,584.4496102307576,0.0010775480397156418
高雄市,RandomForest,1969.388750000042,8201733.491437907,0.07168240723353991
高雄市,LinearRegression,27.149045482859947,1487.037329039246,0.0009808062322989607
屏東縣,LinearRegression,0.6988455697282916,0.7429271947137412,8.497022443522318e-05
屏東縣,RandomForest,2048.5124999999825,4792712.331974916,0.2510104926567645
宜蘭縣,RandomForest,363.5425000000032,264579.262774996,0.08032482391997657
宜蘭縣,LinearRegression,19.070446790115966,674.8279165185475,0.004185720440741797
花蓮縣,LinearRegression,3.846198125203955,15.780438556975506,0.0011831234111248136
花蓮縣,RandomForest,590.0762499999983,478187.06201250455,0.18248557183701408
臺東縣,RandomForest,620.163750000007,489872.4736625106,0.2861067737911212
臺東縣,LinearRegression,8.661556844057486,95.77180307918016,0.004016886243062347
澎湖縣,RandomForest,288.2637500000001,127789.97238749915,0.2747451767908575
澎湖縣,LinearRegression,0.712696606227837,0.7882731767318292,0.0006769235633019629
金門縣,LinearRegression,2.409592175637954,10.892844855761917,0.001725493121020407
金門縣,RandomForest,459.51750000000175,408946.4201250044,0.3274388391260025
連江縣,LinearRegression,0.29886661519981317,0.14400971869520382,0.002298731772415031
連江縣,RandomForest,52.991250000000036,5925.708037500013,0.39842378640040577
