縣市,模型,預測年份,預測人口
基隆市,LinearRegression,2025,361407
基隆市,RandomForest,2025,362649
新北市,LinearRegression,2025,4046785
新北市,RandomForest,2025,4030134
臺北市,LinearRegression,2025,2491090
臺北市,RandomForest,2025,2542343
桃園市,LinearRegression,2025,2338523
桃園市,RandomForest,2025,2293459
新竹市,LinearRegression,2025,457180
新竹市,RandomForest,2025,453746
新竹縣,LinearRegression,2025,594682
新竹縣,RandomForest,2025,582567
苗栗縣,LinearRegression,2025,532787
苗栗縣,RandomForest,2025,535382
臺中市,LinearRegression,2025,2860583
臺中市,RandomForest,2025,2829142
南投縣,LinearRegression,2025,472315
南投縣,RandomForest,2025,481434
彰化縣,LinearRegression,2025,1225550
彰化縣,RandomForest,2025,1244717
雲林縣,LinearRegression,2025,658627
雲林縣,RandomForest,2025,672005
嘉義縣,LinearRegression,2025,479003
嘉義縣,RandomForest,2025,490669
嘉義市,LinearRegression,2025,262192
嘉義市,RandomForest,2025,263633
臺南市,LinearRegression,2025,1858662
臺南市,RandomForest,2025,1857244
高雄市,LinearRegression,2025,2731475
高雄市,RandomForest,2025,2737651
屏東縣,LinearRegression,2025,789118
屏東縣,RandomForest,2025,800753
宜蘭縣,LinearRegression,2025,449192
宜蘭縣,RandomForest,2025,449849
花蓮縣,LinearRegression,2025,315385
花蓮縣,RandomForest,2025,318986
臺東縣,LinearRegression,2025,210201
臺東縣,RandomForest,2025,214753
澎湖縣,LinearRegression,2025,107914
澎湖縣,RandomForest,2025,106982
金門縣,LinearRegression,2025,143622
金門縣,RandomForest,2025,142200
連江縣,LinearRegression,2025,13945
連江縣,RandomForest,2025,13514
